zip,real_bup,real_meth,real_nal,s1_bup,s1_meth,s1_nal,s2_bup,s2_meth,s2_nal,s3_bup,s3_meth,s3_nal
60002,4.0775,6.8002,3.7885,2.4609,1.374,2.6777,4.3929,7.6194,7.4435,10.388,15.0839,12.318
60004,1.1579,3.1042,3.0032,0.9873,0.3221,2.1847,2.2609,2.2203,1.6347,1.1424,4.217,0.7609
60005,1.5013,3.2233,0.6365,0.7317,3.4078,1.7183,0.7757,2.2593,3.6373,0.8925,3.161,2.234
60007,1.1699,4.2139,1.1379,2.6969,4.008,1.3911,0.6358,4.1329,0.2703,0.6109,2.7739,1.5598
60008,0.9563,1.4363,1.4656,1.3096,3.6584,1.3299,0.6612,4.2969,2.6284,1.371,5.0902,3.8901
60010,1.4655,7.7869,6.8378,2.0468,4.4234,3.9631,2.428,5.6936,5.3669,4.0756,8.3496,7.917
60012,3.167,11.0649,2.7722,3.4535,3.012,4.8295,2.2279,3.0507,2.4541,2.3019,3.4968,2.5904
60013,4.0691,10.7351,3.2254,2.3341,4.6377,5.4635,2.6332,4.8265,5.5453,1.9183,2.5152,4.586
60014,0.4416,11.2605,0.6778,1.5622,5.1875,2.6281,0.8888,0.1864,0.973,5.0775,4.3915,0.3248
60015,2.3599,3.925,3.8915,1.5641,6.5283,1.3838,1.5372,4.6612,4.3828,2.3902,3.5704,4.395
60016,0.3516,0.4374,0.4048,1.662,3.3593,4.5947,0.4845,1.2135,0.5724,0.7663,2.0366,1.735
60018,2.9982,3.1576,2.9945,2.5693,3.9538,4.2881,0.7895,3.3391,1.7442,0.9934,2.2274,1.9804
60020,4.7706,0.3274,0.3254,0.5444,3.839,2.5552,5.361,3.0415,5.6159,5.0276,8.218,6.0358
60021,4.7692,9.3898,4.707,1.1595,5.2238,4.9394,2.8934,5.3467,7.0549,2.1145,4.4673,6.057
60025,1.848,1.5036,3.8097,1.0199,3.2773,3.8195,0.6629,5.2773,4.231,1.2293,3.9164,1.9089
60030,3.2581,7.9023,5.4894,1.5877,1.9073,1.8256,1.3583,4.8262,1.2988,2.666,10.5358,12.0084
60031,1.2239,3.3033,2.3245,0.9449,0.6585,4.7877,1.7777,5.8889,0.5726,3.2997,16.4426,14.95
60033,14.8087,22.1392,18.4262,2.0689,9.5258,2.2359,6.3497,19.6086,5.5942,5.2936,7.5087,14.4773
60034,11.0756,13.1099,12.3791,0.2063,9.4801,2.1412,8.7664,16.0578,10.4301,3.8314,11.4171,8.3691
60035,0.3004,0.2884,2.2584,2.2688,9.9418,1.9337,2.0314,8.0219,7.6622,4.6807,3.9181,5.3111
60040,1.1122,1.4699,3.7922,1.8086,9.4915,1.1723,0.7908,8.5741,7.8554,5.5919,5.2575,6.6204
60041,3.4155,2.2194,2.2182,1.4382,4.0987,0.8411,3.9803,1.2663,4.001,3.1274,7.3064,7.1301
60042,6.1394,8.1697,4.8224,1.6295,3.0459,1.4716,4.3891,6.7762,5.9287,1.3849,1.9678,7.0911
60044,1.5715,5.1415,1.3584,6.1485,5.4633,6.3155,1.2986,4.8921,2.9277,4.4017,10.7424,10.756
60046,0.1854,6.0739,3.6664,0.8978,2.5924,2.7296,4.0369,5.0981,4.2577,7.5428,12.9508,12.229
60047,2.4517,7.5333,4.706,4.3131,3.714,2.9931,1.3268,4.1373,1.0108,2.8086,11.02,3.1694
60048,1.4257,6.2946,3.5534,4.3707,1.2917,5.5561,1.7239,7.3039,5.2078,4.6344,12.8038,9.5338
60050,0.843,7.5912,1.7107,2.2431,3.7063,3.4584,1.6981,7.2113,1.4166,1.0968,4.5981,3.2723
60053,1.9938,2.1869,2.1901,1.5038,2.4364,1.4655,0.7358,5.4764,4.4501,0.3848,5.1695,3.836
