Experiment,methadone_urban_threshold,methadone_non_urban_threshold,methadone_p_close,methadone_p_far,buprenorphine_duration,buprenorphine_urban_threshold,buprenorphine_non_urban_threshold,buprenorphine_p_close,buprenorphine_p_far,naltrexone_urban_threshold,naltrexone_non_urban_threshold,naltrexone_p_close,naltrexone_p_far
1,1,5,0.9741711,0.4870856,30,1,5,0.818759,0.4093798,1,5,0.6628729,0.3314365
2,1,5,0.9741711,0.4870856,30,1,5,0.818759,0.4093798,2,10,0.6186008,0.3093004
3,1,5,0.9741711,0.4870856,30,1,5,0.818759,0.4093798,5,20,0.5971287,0.2985643
4,1,5,0.9741711,0.4870856,30,2,10,0.8073953,0.4036977,1,5,0.6628729,0.3314365
5,1,5,0.9741711,0.4870856,30,2,10,0.8073953,0.4036977,2,10,0.6186008,0.3093004
6,1,5,0.9741711,0.4870856,30,2,10,0.8073953,0.4036977,5,20,0.5971287,0.2985643
7,1,5,0.9741711,0.4870856,30,5,20,0.7995823,0.3997912,1,5,0.6628729,0.3314365
8,1,5,0.9741711,0.4870856,30,5,20,0.7995823,0.3997912,2,10,0.6186008,0.3093004
9,1,5,0.9741711,0.4870856,30,5,20,0.7995823,0.3997912,5,20,0.5971287,0.2985643
10,2,10,0.9590038,0.4795019,30,1,5,0.818759,0.4093798,1,5,0.6628729,0.3314365
11,2,10,0.9590038,0.4795019,30,1,5,0.818759,0.4093798,2,10,0.6186008,0.3093004
12,2,10,0.9590038,0.4795019,30,1,5,0.818759,0.4093798,5,20,0.5971287,0.2985643
13,2,10,0.9590038,0.4795019,30,2,10,0.8073953,0.4036977,1,5,0.6628729,0.3314365
14,2,10,0.9590038,0.4795019,30,2,10,0.8073953,0.4036977,2,10,0.6186008,0.3093004
15,2,10,0.9590038,0.4795019,30,2,10,0.8073953,0.4036977,5,20,0.5971287,0.2985643
16,2,10,0.9590038,0.4795019,30,5,20,0.7995823,0.3997912,1,5,0.6628729,0.3314365
17,2,10,0.9590038,0.4795019,30,5,20,0.7995823,0.3997912,2,10,0.6186008,0.3093004
18,2,10,0.9590038,0.4795019,30,5,20,0.7995823,0.3997912,5,20,0.5971287,0.2985643
19,5,20,0.9536625,0.4768313,30,1,5,0.818759,0.4093798,1,5,0.6628729,0.3314365
20,5,20,0.9536625,0.4768313,30,1,5,0.818759,0.4093798,2,10,0.6186008,0.3093004
21,5,20,0.9536625,0.4768313,30,1,5,0.818759,0.4093798,5,20,0.5971287,0.2985643
22,5,20,0.9536625,0.4768313,30,2,10,0.8073953,0.4036977,1,5,0.6628729,0.3314365
23,5,20,0.9536625,0.4768313,30,2,10,0.8073953,0.4036977,2,10,0.6186008,0.3093004
24,5,20,0.9536625,0.4768313,30,2,10,0.8073953,0.4036977,5,20,0.5971287,0.2985643
25,5,20,0.9536625,0.4768313,30,5,20,0.7995823,0.3997912,1,5,0.6628729,0.3314365
26,5,20,0.9536625,0.4768313,30,5,20,0.7995823,0.3997912,2,10,0.6186008,0.3093004
27,5,20,0.9536625,0.4768313,30,5,20,0.7995823,0.3997912,5,20,0.5971287,0.2985643
