Experiment,methadone_urban_threshold,methadone_non_urban_threshold,methadone_p_close,methadone_p_far,buprenorphine_duration,buprenorphine_urban_threshold,buprenorphine_non_urban_threshold,buprenorphine_p_close,buprenorphine_p_far,naltrexone_urban_threshold,naltrexone_non_urban_threshold,naltrexone_p_close,naltrexone_p_far
1,1,5,0.973042538,0.729781904,30,1,5,0.813730638,0.610297979,1,5,0.63694653,0.477709898
2,1,5,0.973042538,0.729781904,30,1,5,0.813730638,0.610297979,2,10,0.609970314,0.457477736
3,1,5,0.973042538,0.729781904,30,1,5,0.813730638,0.610297979,5,20,0.597064006,0.447798005
4,1,5,0.973042538,0.729781904,30,2,10,0.805432703,0.604074527,1,5,0.63694653,0.477709898
5,1,5,0.973042538,0.729781904,30,2,10,0.805432703,0.604074527,2,10,0.609970314,0.457477736
6,1,5,0.973042538,0.729781904,30,2,10,0.805432703,0.604074527,5,20,0.597064006,0.447798005
7,1,5,0.973042538,0.729781904,30,5,20,0.799638912,0.599729184,1,5,0.63694653,0.477709898
8,1,5,0.973042538,0.729781904,30,5,20,0.799638912,0.599729184,2,10,0.609970314,0.457477736
9,1,5,0.973042538,0.729781904,30,5,20,0.799638912,0.599729184,5,20,0.597064006,0.447798005
10,2,10,0.95889184,0.71916888,30,1,5,0.813730638,0.610297979,1,5,0.63694653,0.477709898
11,2,10,0.95889184,0.71916888,30,1,5,0.813730638,0.610297979,2,10,0.609970314,0.457477736
12,2,10,0.95889184,0.71916888,30,1,5,0.813730638,0.610297979,5,20,0.597064006,0.447798005
13,2,10,0.95889184,0.71916888,30,2,10,0.805432703,0.604074527,1,5,0.63694653,0.477709898
14,2,10,0.95889184,0.71916888,30,2,10,0.805432703,0.604074527,2,10,0.609970314,0.457477736
15,2,10,0.95889184,0.71916888,30,2,10,0.805432703,0.604074527,5,20,0.597064006,0.447798005
16,2,10,0.95889184,0.71916888,30,5,20,0.799638912,0.599729184,1,5,0.63694653,0.477709898
17,2,10,0.95889184,0.71916888,30,5,20,0.799638912,0.599729184,2,10,0.609970314,0.457477736
18,2,10,0.95889184,0.71916888,30,5,20,0.799638912,0.599729184,5,20,0.597064006,0.447798005
19,5,20,0.953748359,0.715311269,30,1,5,0.813730638,0.610297979,1,5,0.63694653,0.477709898
20,5,20,0.953748359,0.715311269,30,1,5,0.813730638,0.610297979,2,10,0.609970314,0.457477736
21,5,20,0.953748359,0.715311269,30,1,5,0.813730638,0.610297979,5,20,0.597064006,0.447798005
22,5,20,0.953748359,0.715311269,30,2,10,0.805432703,0.604074527,1,5,0.63694653,0.477709898
23,5,20,0.953748359,0.715311269,30,2,10,0.805432703,0.604074527,2,10,0.609970314,0.457477736
24,5,20,0.953748359,0.715311269,30,2,10,0.805432703,0.604074527,5,20,0.597064006,0.447798005
25,5,20,0.953748359,0.715311269,30,5,20,0.799638912,0.599729184,1,5,0.63694653,0.477709898
26,5,20,0.953748359,0.715311269,30,5,20,0.799638912,0.599729184,2,10,0.609970314,0.457477736
27,5,20,0.953748359,0.715311269,30,5,20,0.799638912,0.599729184,5,20,0.597064006,0.447798005
