t.th.name,p.close,p.far
m.L,0.97304253848752,0.72978190386564
m.M,0.958891840404893,0.71916888030367
m.H,0.953748359132477,0.715311269349358
b7.L,0.958636474771887,0.718977356078915
b7.M,0.955506237548357,0.716629678161268
b7.H,0.953265850122499,0.714949387591874
b30.L,0.813730638291815,0.610297978718861
b30.M,0.805432702878983,0.604074527159238
b30.H,0.799638911664508,0.599729183748381
n.L,0.636946530295007,0.477709897721255
n.M,0.609970314401067,0.457477735800801
n.H,0.597064006330607,0.447798004747955
