VL,Transmission Probability
0,0.000221038
0.023411371,0.000222968
0.046822742,0.000243847
0.070234114,0.000255412
0.093645485,0.000266127
0.117056856,0.000286091
0.140468227,0.000296112
0.163879599,0.000318532
0.18729097,0.000329262
0.210702341,0.000358433
0.234113712,0.00037155
0.257525084,0.000383293
0.280936455,0.000412397
0.304347826,0.000438536
0.327759197,0.000463196
0.351170569,0.00048991
0.37458194,0.000523865
0.397993311,0.000534481
0.421404682,0.000588269
0.444816054,0.000600196
0.468227425,0.000645871
0.491638796,0.000668244
0.515050167,0.000719918
0.538461538,0.000755076
0.56187291,0.00081572
0.585284281,0.000848933
0.608695652,0.000904122
0.632107023,0.000905132
0.655518395,0.000982879
0.678929766,0.001057458
0.702341137,0.001109214
0.725752508,0.00117274
0.74916388,0.001213142
0.772575251,0.001298552
0.795986622,0.001345344
0.819397993,0.001456775
0.842809365,0.001540283
0.866220736,0.001594534
0.889632107,0.001674031
0.913043478,0.001795787
0.936454849,0.00191025
0.959866221,0.001954807
0.983277592,0.002091443
1.006688963,0.002180354
1.030100334,0.00234209
1.053511706,0.002513408
1.076923077,0.002547126
1.100334448,0.002767531
1.123745819,0.002840849
1.147157191,0.00305844
1.170568562,0.003368229
1.193979933,0.003315245
1.217391304,0.003538675
1.240802676,0.003830664
1.264214047,0.004003964
1.287625418,0.004225066
1.311036789,0.004488696
1.334448161,0.004656928
1.357859532,0.004959732
1.381270903,0.005219941
1.404682274,0.005628448
1.428093645,0.005884466
1.451505017,0.006090309
1.474916388,0.006620842
1.498327759,0.006976501
1.52173913,0.007228142
1.545150502,0.007710351
1.568561873,0.008076108
1.591973244,0.008246096
1.615384615,0.008881873
1.638795987,0.009403809
1.662207358,0.009673542
1.685618729,0.010546047
1.7090301,0.011610195
1.732441472,0.011625055
1.755852843,0.012383851
1.779264214,0.012868716
1.802675585,0.013710489
1.826086957,0.014235938
1.849498328,0.015029689
1.872909699,0.01589843
1.89632107,0.017215061
1.919732441,0.018190061
1.943143813,0.018730449
1.966555184,0.019874984
1.989966555,0.0206609
2.013377926,0.022419186
2.036789298,0.02336572
2.060200669,0.024561723
2.08361204,0.027158934
2.107023411,0.02747111
2.130434783,0.029364107
